neuropil,global_clustering_mean,global_clustering_q025,global_clustering_q975,density_mean,density_q025,density_q975,reciprocity_mean,reciprocity_q025,reciprocity_q975,average_strength_mean,average_strength_q025,average_strength_q975
LOP_L,0.06860774796949747,0.0682600405629525,0.06898944948166864,0.0022236824605005,0.0022236824605005,0.0022236824605005,0.12390180410738962,0.12268839194912884,0.1251192990690761,,,
LOP_R,0.08053438440795198,0.07973363791259885,0.08092089840298543,0.0028433766016324,0.0028433766016324,0.0028433766016324,0.1366534502287627,0.1353051563655556,0.1377555051296503,,,
LO_L,0.067354832824569,0.06700723089889626,0.06765688638117409,0.0025473654193834,0.0025473654193834,0.0025473654193834,0.09200854756566021,0.0913435980891461,0.09267195801683725,,,
LO_R,0.06956278204332851,0.06927356462257148,0.06979079065565716,0.0025877119320238994,0.0025877119320239,0.0025877119320239,0.09299789757574344,0.09228269417503945,0.09365731332565813,,,
MB_CA_L,0.028769609509504357,0.027975754839662827,0.02952348616986893,0.0032909084831492003,0.0032909084831492,0.0032909084831492,0.13185852705176374,0.12900924893678514,0.1349570585077831,,,
MB_CA_R,0.02564883992443655,0.02493097726921837,0.026359173534288308,0.0032854478815379996,0.003285447881538,0.003285447881538,0.1314852970373475,0.12775970086695632,0.13518453155677126,,,
MB_ML_L,0.1056749027089603,0.104784841541957,0.10642726039413361,0.008848830327993702,0.0088488303279937,0.0088488303279937,0.15647051008247218,0.15459794047484485,0.15846758121798718,,,
MB_ML_R,0.09170864191603569,0.09093276799468585,0.09254686935104507,0.007919965566549298,0.0079199655665493,0.0079199655665493,0.13845745593957426,0.13618605516136414,0.1409579566262302,,,
MB_PED_L,0.03913222124095236,0.038513041039202785,0.039750830044677506,0.0039713161292112,0.0039713161292112,0.0039713161292112,0.16774097932471493,0.16432889697574427,0.17089795888420958,,,
MB_PED_R,0.0375295875498626,0.0368153797836406,0.03825556059255784,0.0035698760250891005,0.0035698760250891,0.0035698760250891,0.13725431850088501,0.1340791521699322,0.14040926570225232,,,
MB_VL_L,0.07826131678463419,0.0771195966784658,0.07936639941280788,0.0050196890850946,0.0050196890850946,0.0050196890850946,0.1479752838737853,0.14464205289878804,0.15211677038978047,,,
MB_VL_R,0.09471919558494614,0.09342391147077017,0.095938648054796,0.0068536074073851,0.0068536074073851,0.0068536074073851,0.16408250668033234,0.1604926973900948,0.1679147296753175,,,
ME_L,0.058785442687712644,0.0585810611135332,0.05893752581538795,0.0017880731473906004,0.0017880731473906,0.0017880731473906,0.09188739030709545,0.09142782117946456,0.0923951598248402,,,
ME_R,0.059610898735873205,0.059445770727103574,0.06006082517672443,0.0019303376985530005,0.001930337698553,0.001930337698553,0.09448621783402397,0.09397503357202495,0.09501819045823402,,,
NO,0.4221239643332237,0.41828994459633106,0.4257324346096004,0.014226634454091804,0.0142266344540918,0.0142266344540918,0.32962087504634774,0.3225076473859844,0.3365776789024842,,,
OCG,0.11198236422329755,0.10464406452193675,0.1187042831357218,0.0224050907031367,0.0224050907031367,0.0224050907031367,0.1105786864931846,0.09624535315985126,0.12435873605947954,,,
PB,0.1965673325643562,0.19321875660542115,0.19997573062809978,0.0040611722553357,0.0040611722553357,0.0040611722553357,0.10666906930520056,0.1013695039643535,0.11205360068147562,,,
PLP_L,0.12452080597979517,0.12391703662165483,0.12512277499131416,0.0028784390909669002,0.0028784390909669,0.0028784390909669,0.08461673491727494,0.0831191517141783,0.08577558408672768,,,
PLP_R,0.12692636925061998,0.12608838905634662,0.12762045303176228,0.0028683619831561995,0.0028683619831562,0.0028683619831562,0.08152396095230582,0.08026583209958736,0.08296992580003676,,,
PRW,0.19012493188968713,0.18897103375856322,0.1912383868375858,0.015764443208880898,0.0157644432088809,0.0157644432088809,0.13466131025009398,0.13172496949605172,0.13758374197113057,,,
PVLP_L,0.19930186190248692,0.198451220316722,0.20006026520351897,0.006731263763670698,0.0067312637636707,0.0067312637636707,0.15258848778854978,0.15092259641298647,0.15425893246106928,,,
PVLP_R,0.2181388555057723,0.21697494727292366,0.21906248484180896,0.007081464171394201,0.0070814641713942,0.0070814641713942,0.15428790334642842,0.15258685817895434,0.15618229228670064,,,
SAD,0.11719245530086954,0.11633204544986735,0.11798796032089746,0.0029000215274088,0.0029000215274088,0.0029000215274088,0.06598116260929293,0.06431723190481177,0.06739795443167658,,,
SCL_L,0.10476522166428763,0.10378366981189667,0.1058428156064982,0.0032105770350910998,0.0032105770350911,0.0032105770350911,0.06406140906213253,0.062271637876458265,0.06602717735371254,,,
SCL_R,0.10085348102841178,0.09988623135612604,0.10196695645887861,0.0029901974277362,0.0029901974277362,0.0029901974277362,0.07007000912460327,0.06827121066528852,0.07175753587261081,,,
SIP_L,0.10383720153665416,0.1026962755177842,0.10492168150532531,0.0032289700563052004,0.0032289700563052,0.0032289700563052,0.08466544868992774,0.08228152075230612,0.08702238312467073,,,
SIP_R,0.12979211399185758,0.12844568761412267,0.13092866191755137,0.0037947540134848985,0.0037947540134849,0.0037947540134849,0.07434796130548771,0.0720461079468402,0.07647979387035526,,,
SLP_L,0.12683842245976124,0.12603513625442075,0.12761392423570111,0.0059296125792259,0.0059296125792259,0.0059296125792259,0.08355687491028561,0.08230494106764062,0.08510662052026344,,,
SLP_R,0.1326484461729243,0.1317184664793185,0.13336530913974184,0.0067329054019495,0.0067329054019495,0.0067329054019495,0.08731429836061518,0.08590980631376022,0.08863858491424484,,,
SMP_L,0.14346316323014677,0.14283848216436137,0.1440615892195304,0.005696706890791999,0.005696706890792,0.005696706890792,0.10692017827403784,0.105627714645807,0.10838003131716085,,,
SMP_R,0.1427704218245304,0.14218544690976692,0.14333539542124632,0.006053976147272001,0.006053976147272,0.006053976147272,0.10541666120311724,0.10397096232773424,0.10665083330055197,,,
